"artists","total_count"
"Badfinger",9
"Derek & The Dominos",8
"The Black Keys",7
"Ritviz;Nucleya",7
"Jane's Addiction",7
"The White Stripes",7
"Peter Frampton",7
"Allman Brothers Band",7
"Sepultura",7
"The Local Train",7
"Anupam Roy",7
"Ritviz",7
"Prateek Kuhad",7
"Fear, and Loathing in Las Vegas",7
"The Offspring",7
"José González",7
"The Moody Blues",7
"Steve Miller Band",7
"Machine Head",6
"The J. Geils Band",6
"Los Prisioneros",6
"Jimmy Eat World",6
"Marshmello;Anne-Marie",6
"Wisin & Yandel",6
"Wisin & Yandel;Anthony Santos",6
"Wisin & Yandel;Chris Brown;T-Pain",6
"Wisin & Yandel;Franco ""El Gorilla"";Jayko",6
"Ellie Goulding",6
"New Bomb Turks",6
"Wisin & Yandel;Tego Calderón;Franco ""El Gorilla""",6
"Kate Bush",6
"Anupam Roy;Shreya Ghoshal",6
"Bachman-Turner Overdrive",6
"Sumo",6
"Kinky",6
"Marshmello;Bastille",6
"Ankur Tewari;Prateek Kuhad;Dhruv Bhola;Nikhil Vasudevan",6
"George Benson",6
"Steppenwolf",6
"Hoobastank",6
"Porter Robinson;League of Legends",6
"Babasónicos",6
"ASIAN KUNG-FU GENERATION",6
"Zedd;Alessia Cara",6
"Queens of the Stone Age",6
"Zedd;Maren Morris;Grey",6
"The Doobie Brothers",6
"Feid;Totoy El Frio",5
"Daddy Yankee;Myke Towers;Jhayco",5
"Daddy Yankee;Natalia Jiménez",5
"Daddy Yankee;Natti Natasha;Becky G;Bad Bunny",5
"Cali Y El Dandee",5
"Christian Löffler",5
"The Chainsmokers;Coldplay",5
"Daddy Yankee;Snow",5
"The Chainsmokers;Halsey",5
"Daddy Yankee;Wisin & Yandel",5
"Cali Y El Dandee;Danna Paola",5
"Cidergirl",5
"Fitz and The Tantrums",5
"The Cramps",5
"The Dead Milkmen",5
"Cali Y El Dandee;Juan Magán;Sebastian Yatra",5
"De La Ghetto",5
"Cali Y El Dandee;Reik",5
"Free",5
"Nickelback",5
"John De Sohn;LIAMOO",5
"Cali Y El Dandee;Sebastian Yatra",5
"John Denver",5
"Cali Y El Dandee;Shaggy",5
"Deftones",5
"Juan Magán",5
"Juan Magán;Belinda;Lapiz Conciente",5
"The Smashing Pumpkins",5
"Juan Magán;Luciana;Joey Montana;Jaume Berenguer",5
"The Spencer Davis Group",5
"The Stooges",5
"Juan Magán;Maffio",5
"Juan Magán;Mala Rodríguez",5
"Juan Magán;Mariah Angeliq;Yera",5
"Juan Magán;Paulina Rubio;DCS",5
"The White Stripes;The Glitch Mob",5
"O Rappa",5
"The Yellow Diary;Shilpa Rao",5
"Justin Quiles;Robin Schulz",5
"ONE OK ROCK",5
"Calvin Harris;Dua Lipa",5
"Tihuana",5
"Glen Campbell",5
"Os Paralamas Do Sucesso",5
"KSHMR;DIVINE;LIT killah;Jeremy Oceans;Karra",5
"KSHMR;Jeremy Oceans",5
"KSHMR;Lost Stories;Kavita Seth",5
"KSHMR;Tungevaag",5
"KSHMR;Yves V;Krewella;RANDALL",5
"Gojira",5
"BaianaSystem",5
"Kailash Kher;Paresh Kamath;Naresh Kamath",5
"3 Doors Down",5
"Cradle Of Filth",5
"Halsey",5
"Ankur Tewari;The Ghalat Family;Karsh Kale",5
"Pantera",5
"AFI",5
"Paul Simon",5
"Traffic",5
"Korn",5
"BLUE ENCOUNT",5
"Disciples",5
"Billy Joel",5
"Don Omar",5
"Don Omar;Alexis y Fido",5
"Don Omar;Juan Magán",5
"R.E.M.",5
"Don Omar;Lucenzo",5
"Don Omar;Nio Garcia",5
"Don Omar;Plan B",5
"R3HAB;TINI;Reik",5
"Leo Sayer",5
"Whethan;Dua Lipa",5
