"track_name","artists","duration"
"Crystal Ammunition","Wolves In The Throne Room",14.00
"Abraça-Me - Ao Vivo em BH","David Quinlan;Heloisa Rosa",14.00
"Haaska","Moonsorrow",14.00
"Celestite Mirror","Wolves In The Throne Room",14.00
"I'll Take A Melody - Live","Jerry Garcia Band;Jerry Garcia",14.00
"In The Shadow Of Our Pale Companion (2016 - Remaster)","Agalloch",14.00
"Ahrimanic Trance","Wolves In The Throne Room",14.00
"Pimeä","Moonsorrow",14.00
"Immanuel","Tony Anderson",14.00
"Só Tu és Santo / Pra Onde Eu Irei? / É Tudo Sobre Você - Ao Vivo","Dunamis Music;Rapha Gonçalves;MORADA",14.00
