"track_name","artists","track_genre","energy","popularity"
"Save the Trees, Pt. 1","Zhoobin Askarieh;Ali Sasha","iranian",1,0
"Bad Hands","Surgeon","detroit-techno",1,5
"Calling Out to Jah","Apache Indian;Luciano","dancehall",1,2
"Car Wash - Long Version","Rose Royce","disco",1,0
"あなただけを ~Summer Heartbreak~","サザンオールスターズ","j-pop",1,37
"The Hard Way","James Hunter","british",1,28
"Dry Martini - Remastered 2022","Eikichi Yazawa","rockabilly",1,31
"Hotta Chocolatta","Ella Fitzgerald","jazz",1,1
"Kun vielä nuori olla voi","Nuket","punk-rock",1,37
"Shelter","Atria","iranian",1,0
